선수,연도,팀,연봉(만원),WAR
장민재,2020,한화,"11,000",0.08
장시환,2020,한화,"11,000",2.05
오선진,2020,한화,"10,500",0.13
임준섭,2020,한화,"8,800",-0.30
강경학,2020,한화,"7,800",1.55
양성우,2020,한화,"7,000",-0.13
김회성,2020,한화,"6,500",-0.04
김범수,2020,한화,"6,500",0.63
장진혁,2020,한화,"5,800",-0.56
이해창,2020,한화,"5,500",0.10
백진우,2020,한화,"5,300",0.00
김문호,2020,한화,"5,000",-0.30
반즈,2020,한화,"5,000",2.01
김종민,2020,한화,"4,800",0.00
김민하,2020,한화,"4,500",0.89
서균,2020,한화,"4,500",0.25
이현호,2020,한화,"4,500",-0.09
김민우,2020,한화,"4,200",3.11
최승준,2020,한화,"4,000",-0.04
김종수,2020,한화,"3,800",-0.08
장운호,2020,한화,"3,800",-0.10
김이환,2020,한화,"3,700",0.33
김경태,2020,한화,"3,600",0.00
박주홍,2020,한화,"3,500",-0.28
송창현,2020,한화,"3,400",0.00
이동훈,2020,한화,"3,300",-0.23
노시환,2020,한화,"3,300",0.39
주현상,2020,한화,"3,300",0.00
김진영,2020,한화,"3,200",0.81
박윤철,2020,한화,"3,200",0.00
문동욱,2020,한화,"3,200",0.34
유장혁,2020,한화,"3,200",-0.05
김창혁,2020,한화,"3,000",0.00
이도윤,2020,한화,"3,000",-0.09
박한결,2020,한화,"3,000",-0.61
변우혁,2020,한화,"3,000",0.00
윤호솔,2020,한화,"2,900",-0.12
김진욱,2020,한화,"2,900",0.31
이충호,2020,한화,"2,900",0.00
황영국,2020,한화,"2,900",-0.30
조지훈,2020,한화,"2,800",0.00
박상언,2020,한화,"2,800",0.07
윤대경,2020,한화,"2,800",1.31
한승주,2020,한화,"2,700",-0.06
신지후,2020,한화,"2,700",0.00
송윤준,2020,한화,"2,700",0.39
남지민,2020,한화,"2,700",0.00
임종찬,2020,한화,"2,700",-0.58
최인호,2020,한화,"2,700",-0.78
최이경,2020,한화,"2,700",0.00
강재민,2020,한화,"2,700",1.78
김민석,2020,한화,"2,700",0.00
김범준,2020,한화,"2,700",0.00
김승일,2020,한화,"2,700",0.00
김현제,2020,한화,"2,700",0.00
오동욱,2020,한화,"2,700",-0.23
김광명,2020,한화,"2,700",0.00
박준범,2020,한화,"2,700",0.00
박재경,2020,한화,"2,700",0.00
박정현,2020,한화,"2,700",0.23
장웅정,2020,한화,"2,700",0.25
정기훈,2020,한화,"2,700",-0.18
노태형,2020,한화,"2,700",-0.38
정문근,2020,한화,"2,700",0.00
권용우,2020,한화,"2,700",0.00
김기탁,2020,한화,"2,700",-0.10
김지수,2020,한화,"2,700",-0.67
조한민,2020,한화,"2,700",-0.38
김현민,2020,한화,"2,700",-0.03
김관호,2020,한화,"2,700",0.00
허관회,2020,한화,"2,700",0.02
최준혁,2020,한화,"2,700",0.00
정이황,2020,한화,"2,700",0.00
김현우,2020,한화,"2,700",0.00
양의지,2020,NC,"200,000",6.63
루친스키,2020,NC,"100,000",6.87
알테어,2020,NC,"80,000",3.22
라이트,2020,NC,"80,000",3.37
박석민,2020,NC,"70,000",3.10
박민우,2020,NC,"52,000",5.99
나성범,2020,NC,"50,000",5.21
모창민,2020,NC,"30,000",0.40
이재학,2020,NC,"27,500",0.49
원종현,2020,NC,"26,000",0.31
이명기,2020,NC,"24,000",2.58
김태군,2020,NC,"20,000",1.25
구창모,2020,NC,"18,000",4.89
임창민,2020,NC,"16,000",-0.26
김진성,2020,NC,"16,000",1.08
박진우,2020,NC,"16,000",-0.17
강윤구,2020,NC,"15,500",0.09
노진혁,2020,NC,"14,000",4.59
권희동,2020,NC,"13,500",2.75
지석훈,2020,NC,"12,500",0.72
김성욱,2020,NC,"12,000",0.63
문경찬,2020,NC,"11,500",0.40
배재환,2020,NC,"10,500",0.14
홍성민,2020,NC,"10,000",1.20
이상호,2020,NC,"10,000",-0.63
최성영,2020,NC,"9,500",0.39
임정호,2020,NC,"9,200",1.40
김건태,2020,NC,"9,000",0.62
김준완,2020,NC,"8,000",0.00
이원재,2020,NC,"7,100",0.29
김영규,2020,NC,"6,300",0.24
김찬형,2020,NC,"5,800",-0.25
정범모,2020,NC,"5,500",0.00
김형준,2020,NC,"5,000",0.60
손정욱,2020,NC,"4,600",0.08
강진성,2020,NC,"3,800",1.78
강동연,2020,NC,"3,400",-0.06
도태훈,2020,NC,"3,200",0.08
윤수강,2020,NC,"3,200",-0.06
박대온,2020,NC,"3,000",0.00
배민서,2020,NC,"3,000",-0.01
전사민,2020,NC,"3,000",0.00
최승민,2020,NC,"3,000",0.00
김철호,2020,NC,"3,000",0.00
서호철,2020,NC,"3,000",-0.20
이재율,2020,NC,"3,000",0.33
박정수,2020,NC,"3,000",0.39
오영수,2020,NC,"2,900",0.00
김재균,2020,NC,"2,900",0.00
홍성무,2020,NC,"2,900",-0.29
유영준,2020,NC,"2,800",-0.07
신진호,2020,NC,"2,800",0.00
임형원,2020,NC,"2,700",-0.01
김태경,2020,NC,"2,700",0.06
정구범,2020,NC,"2,700",0.00
박시원,2020,NC,"2,700",-0.03
안인산,2020,NC,"2,700",0.06
김한별,2020,NC,"2,700",0.00
한건희,2020,NC,"2,700",0.00
한재환,2020,NC,"2,700",0.00
박영빈,2020,NC,"2,700",0.00
하준수,2020,NC,"2,700",0.00
강태경,2020,NC,"2,700",0.00
노상혁,2020,NC,"2,700",0.00
노시훈,2020,NC,"2,700",0.00
박지한,2020,NC,"2,700",0.00
이종준,2020,NC,"2,700",0.00
이승헌,2020,NC,"2,700",-0.02
신민혁,2020,NC,"2,700",0.27
류진욱,2020,NC,"2,700",0.00
문석종,2020,NC,"2,700",0.00
이호중,2020,NC,"2,700",0.02
박준영,2020,NC,"2,700",-0.48
권법수,2020,NC,"2,700",0.00
소이현,2020,NC,"2,700",0.07
김태현,2020,NC,"2,700",-0.01
김진호,2020,NC,"2,700",-0.07
김영중,2020,NC,"2,700",0.00
김준현,2020,NC,"2,700",0.00
김기환,2020,NC,"2,700",0.09
김범준,2020,NC,"2,700",0.00
최정원,2020,NC,"2,700",0.18
노학준,2020,NC,"2,700",0.00
송동욱,2020,NC,"2,700",0.00
최재익,2020,NC,"2,700",0.00
송명기,2020,NC,"2,700",2.34
황재균,2020,KT,"120,000",5.70
로하스,2020,KT,"80,000",9.40
쿠에바스,2020,KT,"60,000",3.49
유한준,2020,KT,"50,000",1.09
데스파이네,2020,KT,"45,000",4.12
박경수,2020,KT,"40,000",2.90
강백호,2020,KT,"21,000",5.81
이보근,2020,KT,"20,000",0.97
주권,2020,KT,"15,000",1.91
금민철,2020,KT,"15,000",-0.06
장성우,2020,KT,"13,500",3.65
심우준,2020,KT,"13,000",0.57
김재윤,2020,KT,"12,000",1.47
배제성,2020,KT,"11,000",3.43
이대은,2020,KT,"10,000",-0.05
전유수,2020,KT,"10,000",0.55
이홍구,2020,KT,"9,000",-0.42
김민혁,2020,KT,"9,000",-0.03
박승욱,2020,KT,"8,000",-0.30
김민,2020,KT,"7,500",-0.35
김성훈,2020,KT,"7,000",0.00
조용호,2020,KT,"7,000",2.68
김민수,2020,KT,"6,500",-0.22
허도환,2020,KT,"6,500",-0.24
배정대,2020,KT,"4,800",4.87
송민섭,2020,KT,"4,700",0.70
하준호,2020,KT,"4,500",0.21
손동현,2020,KT,"4,500",0.07
