순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,연도,연봉(만원),WAR,후년연봉,연차
23,이형종,키움,0.215,99,374,316,35,68,22,1,3,101,37,3,2,39,2,14,78,11,0.32,0.326,0.646,16,0.281,0.143,2023,12000,-0.21,68000,16
10,임병욱,키움,0.26,80,223,208,30,54,11,1,6,85,36,1,3,10,0,1,75,1,0.409,0.293,0.702,15,0.339,0.167,2023,5800,0.44,7000,10
18,장두성,롯데,0.222,43,41,36,12,8,2,1,0,12,4,0,0,5,0,0,12,0,0.333,0.317,0.65,0,0.1,0.5,2021,3000,-0.35,3500,1
19,장두성,롯데,0.174,53,28,23,7,4,0,0,0,4,0,0,0,5,0,0,11,0,0.174,0.321,0.495,0,0,0,2022,3500,-0.08,3800,2
23,장두성,롯데,0.154,25,15,13,7,2,0,0,0,2,1,1,0,1,0,0,3,1,0.154,0.214,0.368,0,0.2,0,2023,3800,0.15,4000,3
8,장성우,KT,0.278,130,455,400,39,111,15,0,13,165,79,10,6,38,0,1,64,15,0.413,0.337,0.75,30,0.31,0.286,2020,13500,3.65,21000,13
18,장성우,KT,0.231,127,460,385,46,89,13,0,14,144,63,9,3,60,3,3,69,16,0.374,0.337,0.711,15,0.239,0.2,2021,21000,2.56,50000,14
10,장성우,KT,0.26,117,420,362,48,94,11,0,18,159,55,1,3,52,2,2,79,12,0.439,0.353,0.792,26,0.277,0.1,2022,50000,3.85,50000,15
6,장성우,KT,0.288,131,464,410,37,118,22,0,11,173,65,3,7,42,1,2,70,12,0.422,0.351,0.773,36,0.267,0.25,2023,50000,3.43,50000,16
15,장승현,두산,0.25,23,22,20,5,5,3,0,0,8,3,0,0,1,0,1,6,2,0.4,0.318,0.718,1,0.286,0,2020,3500,0.01,3800,8
16,장승현,두산,0.232,92,211,177,18,41,10,0,2,57,27,6,1,19,0,8,50,2,0.322,0.332,0.654,8,0.365,0,2021,3800,0.5,7800,9
24,장승현,두산,0.208,60,109,96,6,20,3,0,0,23,9,3,1,5,0,4,27,2,0.24,0.274,0.514,4,0.241,0,2022,7800,-0.27,6000,10
25,장승현,두산,0.158,76,158,139,11,22,1,0,3,32,9,5,0,6,0,8,36,2,0.23,0.235,0.465,3,0.111,0,2023,6000,-0.93,6000,11
11,장진혁,한화,0.233,41,132,116,11,27,2,0,2,35,17,1,3,12,0,0,28,1,0.302,0.298,0.6,6,0.209,0,2022,5800,0.61,6000,5
13,장진혁,한화,0.222,68,178,162,24,36,5,1,0,43,12,0,1,15,0,0,41,3,0.265,0.287,0.552,6,0.229,0.364,2023,6000,-0.44,5800,6
13,전민재,두산,0.25,9,5,4,1,1,0,0,0,1,1,0,1,0,0,0,2,0,0.25,0.2,0.45,0,0,0,2021,3000,-0.08,3200,4
7,전민재,두산,0.289,35,46,45,11,13,1,0,0,14,0,1,0,0,0,0,12,3,0.311,0.289,0.6,1,0,0,2022,3200,0.22,3600,5
13,전민재,두산,0.235,19,18,17,3,4,2,0,0,6,1,1,0,0,0,0,3,2,0.353,0.235,0.588,0,0.2,0,2023,3600,-0.32,3400,6
16,전병우,키움,0.237,119,402,359,46,85,13,3,8,128,48,2,2,37,0,2,100,7,0.357,0.31,0.667,17,0.28,0.182,2020,2900,1.01,6000,3
18,전병우,키움,0.187,115,261,214,35,40,8,0,6,66,31,4,1,33,0,9,83,0,0.308,0.319,0.627,7,0.286,0.2,2021,6000,0.71,7000,4
